,n_row,n_col,sigma,lr,n_iter,q_error
0,3,3,2.0,0.005,100000,7.543142514501289
1,3,3,2.0,0.005,500000,7.517780376923114
2,3,3,2.0,0.005,1000000,7.5100546741358
3,3,3,2.0,0.05,100000,7.552246885704643
4,3,3,2.0,0.05,500000,7.5197810670214285
5,3,3,2.0,0.05,1000000,7.543994860011405
6,3,3,2.0,0.5,100000,7.813320846915526
7,3,3,2.0,0.5,500000,7.637073958388185
8,3,3,2.0,0.5,1000000,7.778367979029247
9,3,3,1.0,0.005,100000,7.0837839041113
10,3,3,1.0,0.005,500000,7.062854579945114
11,3,3,1.0,0.005,1000000,7.061780928932958
12,3,3,1.0,0.05,100000,7.089179300193717
13,3,3,1.0,0.05,500000,7.095120574501253
14,3,3,1.0,0.05,1000000,7.093197444080014
15,3,3,1.0,0.5,100000,7.35145440417665
16,3,3,1.0,0.5,500000,7.302312788148789
17,3,3,1.0,0.5,1000000,7.378334096093425
18,3,3,0.5,0.005,100000,7.064991249423672
19,3,3,0.5,0.005,500000,7.077809352189851
20,3,3,0.5,0.005,1000000,7.077806194385273
21,3,3,0.5,0.05,100000,7.106085025605933
22,3,3,0.5,0.05,500000,7.112233215535207
23,3,3,0.5,0.05,1000000,7.106834216611712
24,3,3,0.5,0.5,100000,7.492188875581707
25,3,3,0.5,0.5,500000,7.339505469174457
26,3,3,0.5,0.5,1000000,7.497573976685721
